"Product Name","GPU Chip","Released","Bus","Memory","GPU clock","Memory clock","Shaders / TMUs / ROPs"
"FirePro S7150 ","Tonga ","Feb 1st, 2016","PCIe 3.0 x16","8 GB, GDDR5, 256 bit","920 MHz","1250 MHz","2048 / 128 / 32"
"FirePro S7150 x2 ","Tonga ","Feb 1st, 2016","PCIe 3.0 x16","8 GB, GDDR5, 256 bit","1050 MHz","1250 MHz","1792 / 112 / 32"
"FirePro S9300 X2 ","Capsaicin ","Mar 31st, 2016","PCIe 3.0 x16","4 GB, HBM, 4096 bit","850 MHz","500 MHz","4096 / 256 / 64"
"FirePro W4300 ","Bonaire ","Dec 1st, 2015","PCIe 3.0 x16","4 GB, GDDR5, 128 bit","930 MHz","1500 MHz","768 / 48 / 16"
"Radeon 540 ","Lexa ","Mar 26th, 2019","PCIe 3.0 x8","2 GB, GDDR5, 64 bit","1100 MHz","1750 MHz","512 / 32 / 16"
"Radeon 540X ","Lexa ","Sep 5th, 2018","PCIe 3.0 x8","2 GB, GDDR5, 128 bit","980 MHz","1750 MHz","512 / 32 / 16"
"Radeon 540X ","Lexa ","Feb 11th, 2019","PCIe 3.0 x8","2 GB, GDDR5, 128 bit","980 MHz","1750 MHz","512 / 32 / 16"
"Radeon 550 ","Lexa ","Apr 20th, 2017","PCIe 3.0 x8","2 GB, GDDR5, 64 bit","1100 MHz","1750 MHz","512 / 32 / 16"
"Radeon 550X ","Lexa ","Mar 27th, 2019","PCIe 3.0 x8","2 GB, GDDR5, 128 bit","1082 MHz","1750 MHz","512 / 32 / 16"
"Radeon 550X ","Lexa ","Mar 27th, 2019","PCIe 3.0 x8","2 GB, GDDR5, 128 bit","1082 MHz","1750 MHz","512 / 32 / 16"
"Radeon 550X 640SP ","Lexa ","Apr 11th, 2018","PCIe 3.0 x8","4 GB, GDDR5, 64 bit","1019 MHz","1500 MHz","640 / 40 / 16"
"Radeon 630 ","Lexa ","May 13th, 2019","PCIe 3.0 x8","2 GB, GDDR5, 128 bit","1082 MHz","1750 MHz","512 / 32 / 16"
"Radeon Instinct MI25 ","Vega 10 ","Jun 27th, 2017","PCIe 3.0 x16","16 GB, HBM2, 2048 bit","1400 MHz","852 MHz","4096 / 256 / 64"
"Radeon Instinct MI25 MxGPU ","Vega 10 ","Jun 27th, 2017","PCIe 3.0 x16","16 GB, HBM2, 2048 bit","1400 MHz","852 MHz","4096 / 256 / 64"
"Radeon Instinct MI50 ","Vega 20 ","Nov 18th, 2018","PCIe 4.0 x16","16 GB, HBM2, 4096 bit","1200 MHz","1000 MHz","3840 / 240 / 64"
"Radeon Instinct MI6 ","Ellesmere ","Dec 12th, 2016","PCIe 3.0 x16","8 GB, GDDR5, 256 bit","1120 MHz","1750 MHz","2304 / 144 / 32"
"Radeon Instinct MI60 ","Vega 20 ","Nov 18th, 2018","PCIe 4.0 x16","32 GB, HBM2, 4096 bit","1200 MHz","1000 MHz","4096 / 256 / 64"
"Radeon Instinct MI8 ","Fiji ","Dec 12th, 2016","PCIe 3.0 x16","4 GB, HBM, 4096 bit","1000 MHz","500 MHz","4096 / 256 / 64"
"Radeon Pro Duo ","Capsaicin ","Apr 26th, 2016","PCIe 3.0 x16","4 GB, HBM, 4096 bit","1000 MHz","500 MHz","4096 / 256 / 64"
"Radeon Pro Duo Polaris ","Ellesmere ","Apr 24th, 2017","PCIe 3.0 x16","16 GB, GDDR5, 256 bit","1243 MHz","1750 MHz","2304 / 144 / 32"
"Radeon Pro SSG ","Vega 10 ","Aug 8th, 2017","PCIe 3.0 x16","16 GB, HBM2, 2048 bit","1440 MHz","945 MHz","4096 / 256 / 64"
"Radeon Pro V320 ","Vega 10 ","Jun 29th, 2017","PCIe 3.0 x16","16 GB, HBM2, 2048 bit","852 MHz","945 MHz","4096 / 256 / 64"
"Radeon Pro V320 MxGPU ","Vega 10 ","Jun 29th, 2017","PCIe 3.0 x16","16 GB, HBM2, 2048 bit","852 MHz","945 MHz","3584 / 224 / 64"
"Radeon Pro V340 ","Vega 10 ","Never Released","PCIe 3.0 x16","16 GB, HBM2, 2048 bit","852 MHz","1000 MHz","3584 / 224 / 64"
"Radeon Pro V340 MxGPU ","Vega 10 ","Aug 26th, 2018","PCIe 3.0 x16","16 GB, HBM2, 2048 bit","1000 MHz","1000 MHz","3584 / 224 / 64"
"Radeon Pro V5300X ","Baffin ","Never Released","PCIe 3.0 x8","4 GB, GDDR5, 128 bit","1125 MHz","1500 MHz","1024 / 64 / 16"
"Radeon Pro V7300X ","Ellesmere ","Never Released","PCIe 3.0 x16","8 GB, GDDR5, 256 bit","1188 MHz","1750 MHz","2304 / 144 / 32"
"Radeon Pro V7350X2 ","Ellesmere ","Never Released","PCIe 3.0 x16","8 GB, GDDR5, 256 bit","1188 MHz","1750 MHz","2304 / 144 / 32"
"Radeon Pro Vega II ","Vega 20 ","Unknown","PCIe 3.0 x16","32 GB, HBM2, 4096 bit","1574 MHz","806 MHz","4096 / 256 / 64"
"Radeon Pro Vega II Duo ","Vega 20 ","Unknown","PCIe 3.0 x16","32 GB, HBM2, 4096 bit","1400 MHz","1000 MHz","4096 / 256 / 64"
"Radeon Pro WX 2100 ","Lexa ","Jun 4th, 2017","PCIe 3.0 x8","2 GB, GDDR5, 64 bit","925 MHz","1500 MHz","512 / 32 / 16"
"Radeon Pro WX 3100 ","Lexa ","Jun 12th, 2017","PCIe 3.0 x8","4 GB, GDDR5, 128 bit","925 MHz","1500 MHz","512 / 32 / 16"
"Radeon Pro WX 4100 ","Baffin ","Nov 10th, 2016","PCIe 3.0 x8","4 GB, GDDR5, 128 bit","1125 MHz","1500 MHz","1024 / 64 / 16"
"Radeon Pro WX 5100 ","Ellesmere ","Nov 18th, 2016","PCIe 3.0 x16","8 GB, GDDR5, 256 bit","713 MHz","1250 MHz","1792 / 112 / 32"
